id,name,gender,age,education,profession,income,living_with,nation,phone,job,fb_freq,yt_freq,tik_freq,use_less_than_2GB,use_2GB_to_4GB,marriage_status,number_child,purpose,go_with,weather,time,viettel_no_0,viettel_no_1,viettel_no_2,to_hanoi,to_other,score,number_of_suggestions,number_of_plans,number_of_accept,number_of_accept_2,mobile_plan
17620,Nick Mühle-Klemm,Male,24,Bachelor,Architecture & Engineering,1776000000.0,Single_0,Denmark,+49(0)0577342291,mechanic,0,1,7,5,0,Single,0,Travel,Friends,Sunny,09:00,1,0,0,0,1,0,3,3,1.0,1,DATACALL
9606,Luis Bennett,Male,23,Bachelor,Architecture & Engineering,1772500000.0,Single_0,Us,-1783,Social researcher,0,1,7,8,0,Single,0,Travel,Friends,Sunny,14:00,0,1,0,0,1,0,5,4,1.0,1,DATASILVER
15884,藤田 学,Male,24,Bachelor,Architecture & Engineering,1675200000.0,Single_0,Japan,080-7594-3786,plumber,0,0,6,8,1,Single,0,Travel,Friends,Sunny,15:00,0,1,0,0,1,15,3,3,0.0,0,Unknown
7022,André Correia,Male,22,Bachelor,Architecture & Engineering,1595000000.0,Single_0,Brazil,0500-308-8726,Surgical Instrumentator,0,1,5,8,0,Single,0,Travel,Friends,Sunny,11:00,0,1,0,0,1,0,3,2,1.0,1,SOCIALMEDIAGOLD
17244,Danilo Sousa,Male,25,Bachelor,Architecture & Engineering,1585000000.0,Single_0,Brazil,+55 71 1546 3006,Banking,0,0,8,8,1,Single,0,Visit,Alone,Sunny,15:00,1,0,0,1,0,0,2,2,0.0,0,Unknown
13688,Justin Hansen,Other,25,Bachelor,Architecture & Engineering,1762500000.0,Single_0,Australia,227882052,"Designer, exhibition/display",0,0,8,7,1,Single,0,Work,Alone,Sunny,07:00,0,0,1,0,1,0,1,1,1.0,1,DATACALL
4979,Hendrik Buchholz,Male,21,Bachelor,Architecture & Engineering,1728000000.0,Single_0,Denmark,(09608) 01953,IT specialist,0,1,4,7,1,Single,0,Work,Alone,Sunny,07:00,1,0,0,1,0,0,5,4,2.0,2,"SOCIALMEDIAGOLD, DATAGOLD"
14896,Eduardo Casa Grande,Male,22,Bachelor,Architecture & Engineering,1645000000.0,Single_0,Brazil,(061) 9546-7763,Camel,0,1,6,8,0,Single,0,Work,Alone,Sunny,06:00,1,0,0,0,1,15,4,4,2.0,2,"DATASILVER, SOCIALMEDIA"
16583,Blake Rogers,Male,49,Unknown,Student,453600000.0,Single_0,England,001-461-338-6233x394,Cabin crew,0,4,2,3,0,Single,0,Travel,Alone,Sunny,14:00,1,0,0,0,1,9,4,4,1.0,1,DATASILVER
2492,Дорофеев Лука Артурович,Male,48,Unknown,Student,458400000.0,Single_0,Russia,8 (398) 723-1168,Paramedic,0,8,2,3,0,Single,0,Travel,Friends,Sunny,10:00,1,0,0,0,1,0,1,1,1.0,1,SOCIALMEDIA
18157,Eric Hull,Male,48,Unknown,Student,362400000.0,Single_0,Us,785.659.0055x361,Minerals surveyor,0,8,1,3,0,Single,0,Travel,Friends,Sunny,10:00,0,1,0,0,1,12,2,2,0.0,0,Unknown
11738,Jeff Huff,Male,46,Unknown,Student,432500000.0,Single_0,England,+1-676-722-8401x32399,"Therapist, music",0,6,1,3,0,Single,0,Travel,Friends,Sunny,11:00,1,0,0,0,1,0,1,1,1.0,1,SOCIALMEDIA
14840,Ростислав Ермилович Трофимов,Male,47,Unknown,Student,430000000.0,Single_0,Russia,+7 (822) 216-7871,Driver,0,7,3,1,0,Single,0,Travel,Friends,Sunny,11:00,0,1,0,0,1,11,3,3,1.0,1,SOCIALMEDIA
3838,田中 直人,Male,46,Unknown,Student,507500000.0,Single_0,Japan,080-7505-7531,game creator,0,5,3,1,0,Single,0,Travel,Friends,Sunny,14:00,0,1,0,0,1,9,2,2,1.0,1,DATASILVER
13931,Chad Wiley,Male,46,Unknown,Student,403200000.0,Single_0,England,996-755-9649,Ranger/warden,0,5,2,1,0,Single,0,Travel,Friends,Sunny,15:00,0,1,0,0,1,8,2,2,1.0,1,DATASILVER
11761,Michael Collins,Male,48,Unknown,Student,460800000.0,Single_0,Us,388.392.6681x223,Advertising account planner,0,8,1,2,0,Single,0,Travel,Friends,Sunny,11:00,1,0,0,0,1,0,3,3,1.0,1,SOCIALMEDIA
5723,Alfredo Hauffer,Male,48,Unknown,Student,415000000.0,Single_0,Denmark,04539 764449,Optometrist,0,7,1,2,0,Single,0,Travel,Friends,Sunny,12:00,0,1,0,0,1,0,3,3,1.0,1,SOCIALMEDIAGOLD
16237,Michele Jones,Other,46,Unknown,Student,439200000.0,Single_0,Us,968-535-6471x26689,Administrator,0,6,1,1,0,Single,0,Travel,Alone,Sunny,10:00,1,0,0,0,1,8,3,2,1.0,1,SOCIALMEDIA
19985,Joshua Watkins,Male,46,Unknown,Student,560000000.0,Single_0,England,001-244-435-9755,"Civil engineer, contracting",0,7,2,3,0,Single,0,Work,Alone,Sunny,07:00,1,0,0,1,0,0,1,1,1.0,1,SOCIALMEDIAGOLD
5658,Gary Knapp,Male,49,Bachelor,Education&Training&Library,1800000000.0,Married_1,Us,365-272-1465x060,Publishing copy,0,1,3,1,1,Married,1,Travel,Alone,Sunny,11:00,1,0,0,0,1,0,3,3,0.0,0,Unknown
9408,Terry Hall,Male,48,Bachelor,Education&Training&Library,1902500000.0,Married_2,England,959-357-2040x72336,Jewellery designer,0,3,2,2,0,Married,2,Travel,Friends,Sunny,10:00,1,0,0,0,1,0,2,2,1.0,1,SOCIALMEDIA
5989,David Clark,Male,49,Bachelor,Education&Training&Library,1970400000.0,Married_2,Australia,+61.3.4971.5724,"Therapist, drama",0,3,1,3,0,Married,2,Travel,Friends,Sunny,08:00,0,1,0,0,1,0,5,5,1.0,1,SOCIALMEDIAGOLD
15606,William Marquez,Male,47,Bachelor,Education&Training&Library,2090400000.0,Married_4,Us,280.321.2785,Therapeutic radiographer,0,1,1,3,1,Married,4,Travel,Friends,Sunny,14:00,0,1,0,0,1,0,4,4,0.0,0,Unknown
13667,Brian Obrien,Male,46,Bachelor,Education&Training&Library,1970400000.0,Married_3,England,407.531.7605,"Administrator, Civil Service",1,1,2,1,1,Married,3,Travel,Friends,Sunny,14:00,0,1,0,0,1,0,3,3,1.0,1,SOCIALMEDIA
16399,Daniel Gibson,Male,47,Bachelor,Education&Training&Library,2170000000.0,Married_1,Us,5706384745,Tourist information centre manager,0,3,1,2,0,Married,1,Travel,Friends,Sunny,16:00,0,1,0,0,1,0,5,4,1.0,1,DATASILVER
12202,Christopher Mullen,Male,49,Bachelor,Education&Training&Library,1908000000.0,Married_3,England,(615)284-5990x772,Podiatrist,0,3,2,2,0,Married,3,Travel,Friends,Sunny,12:00,0,1,0,0,1,7,4,4,1.0,1,SOCIALMEDIAGOLD
1171,Peter Carney,Other,49,Bachelor,Education&Training&Library,1994400000.0,Married_4,England,630-292-2627x81661,Product designer,0,1,1,3,0,Married,4,Travel,Family,Sunny,10:00,0,1,0,0,1,0,1,1,1.0,1,DATASILVER
10882,鈴木 聡太郎,Male,46,Bachelor,Education&Training&Library,2016000000.0,Married_1,Japan,070-3695-6668,paramedic,0,2,2,3,1,Married,1,Travel,Family,Sunny,09:00,0,1,0,0,1,8,3,3,0.0,0,Unknown
6308,Alex Rice,Male,46,Bachelor,Education&Training&Library,2023200000.0,Married_4,England,687-973-1078x6555,"Engineer, petroleum",1,1,3,3,1,Married,4,Travel,Family,Sunny,08:00,0,1,0,0,1,0,2,2,1.0,1,DATACALL
15590,Gustavo Sampaio,Male,48,Bachelor,Education&Training&Library,2037500000.0,Married_1,Brazil,+55 71 4363-9581,Longshoreman,0,3,3,2,0,Married,1,Travel,Family,Sunny,11:00,1,0,0,0,1,0,5,4,1.0,1,DATASILVER
6695,Daniel Gibson,Male,47,Bachelor,Education&Training&Library,1819200000.0,Married_1,England,(791)439-6360,Geoscientist,0,3,1,3,1,Married,1,Travel,Family,Sunny,14:00,0,1,0,0,1,0,4,3,1.0,1,DATASILVER
11834,Johnathan Moses,Male,46,Bachelor,Education&Training&Library,2115000000.0,Married_2,England,338.648.4204x6612,Database administrator,0,1,1,1,0,Married,2,Visit,Alone,Sunny,15:00,1,0,0,1,0,0,4,4,0.0,0,Unknown
18151,魏斌,Male,47,Bachelor,Education&Training&Library,2045000000.0,Married_1,China,18174348347,interior design,1,2,2,3,0,Married,1,Visit,Alone,Sunny,17:00,1,0,0,0,1,8,1,1,1.0,1,SOCIALMEDIA
8159,Kevin Hansen,Male,46,Bachelor,Education&Training&Library,2025600000.0,Married_2,England,752.916.8827x8561,"Pharmacist, hospital",1,3,3,2,1,Married,2,Work,Alone,Sunny,06:00,0,0,1,0,1,0,2,1,1.0,1,DATACALL
19448,Bill Mason,Male,48,Bachelor,Education&Training&Library,1900800000.0,Married_1,England,001-811-356-3773x907,"Geneticist, molecular",0,1,3,3,0,Married,1,Work,Alone,Sunny,06:00,0,1,0,0,1,7,3,3,0.0,0,Unknown
19309,Johnathan Bryant,Male,48,Bachelor,Education&Training&Library,2135000000.0,Married_1,Australia,6652-1737,Electrical engineer,1,3,2,1,0,Married,1,Work,Alone,Sunny,06:00,1,0,0,0,1,0,2,2,1.0,1,DATASILVER
2182,Warren Saunders,Male,24,Associate,Student,477500000.0,Single_0,England,763.957.2535x61493,Senior tax professional/tax inspector,3,1,1,0,2,Single,0,Travel,Friends,Sunny,08:00,1,0,0,0,1,7,2,2,1.0,1,SOCIALMEDIA
7708,Warren Bowen,Male,21,Associate,Student,617500000.0,Single_0,Us,+1-891-845-9699x503,Plant breeder/geneticist,3,0,3,0,2,Single,0,Travel,Friends,Sunny,10:00,1,0,0,0,1,8,4,4,1.0,1,SOCIALMEDIAGOLD
2231,Jerry Davis,Male,25,Associate,Student,595000000.0,Single_0,Us,(688)587-5742,Chiropractor,2,1,1,0,2,Single,0,Travel,Friends,Sunny,09:00,0,1,0,0,1,6,5,5,1.0,1,SOCIALMEDIAGOLD
19843,Lawrence Norris,Male,22,Associate,Student,370000000.0,Single_0,England,8123869042,Warden/ranger,2,1,2,1,1,Single,0,Travel,Friends,Sunny,13:00,1,0,0,0,1,0,2,2,0.0,0,Unknown
19423,Eric Wells,Male,22,Associate,Student,355200000.0,Single_0,Australia,61898745891,Media buyer,1,1,1,1,3,Single,0,Travel,Friends,Sunny,11:00,0,1,0,0,1,0,1,1,1.0,1,SOCIALMEDIA
15869,Steven Pruitt,Other,22,Associate,Student,528000000.0,Single_0,England,001-979-476-1993,Petroleum engineer,2,0,3,1,1,Single,0,Travel,Friends,Sunny,14:00,0,1,0,0,1,0,2,2,1.0,1,SOCIALMEDIA
17580,Vitor Gabriel Ribeiro,Other,25,Associate,Student,427500000.0,Single_0,Brazil,71 1182-0119,Microphonist,2,1,3,1,2,Single,0,Travel,Friends,Sunny,13:00,0,1,0,0,1,0,2,2,1.0,1,DATASILVER
8695,Univ.Prof. Piotr Köster,Male,23,Associate,Student,408000000.0,Single_0,Denmark,6984380833,Nurse,1,1,2,1,3,Single,0,Travel,Friends,Sunny,17:00,1,0,0,0,1,0,3,3,0.0,0,Unknown
6663,Robert Stone,Male,22,Associate,Student,561600000.0,Single_0,Us,227-628-8589x1060,Social researcher,3,1,3,1,3,Single,0,Travel,Friends,Sunny,18:00,0,1,0,0,1,0,3,3,1.0,1,DATASILVER
6679,Dr. Erick Alves,Male,25,Associate,Student,480000000.0,Single_0,Brazil,41 2388 3530,Pediatrician,1,1,2,0,1,Single,0,Travel,Friends,Sunny,13:00,1,0,0,0,1,0,1,1,0.0,0,Unknown
13708,Charles Davis,Other,21,Associate,Student,470400000.0,Single_0,Us,001-743-680-0705x323,Art therapist,3,0,3,1,3,Single,0,Travel,Friends,Sunny,11:00,0,1,0,0,1,0,4,4,1.0,1,SOCIALMEDIAGOLD
2869,Victor Miles,Other,21,Associate,Student,452500000.0,Single_0,Australia,0422-151-254,Fashion designer,1,1,1,0,1,Single,0,Travel,Alone,Sunny,10:00,1,0,0,0,1,4,5,4,2.0,2,"SOCIALMEDIA, SOCIALMEDIAGOLD"
6967,Hans-Hermann Hendriks,Male,21,Associate,Student,497500000.0,Single_0,Denmark,+49(0) 102046413,educator,3,0,2,1,1,Single,0,Visit,Alone,Sunny,17:00,1,0,0,1,0,0,5,5,1.0,1,DATACALL
12345,Jordan Fox,Male,21,Associate,Student,516000000.0,Single_0,England,001-726-669-6851,Art therapist,3,1,1,1,1,Single,0,Visit,Alone,Sunny,15:00,0,1,0,0,1,7,4,4,1.0,1,DATAGOLD
8871,Wesley Kelly,Male,21,Associate,Student,588000000.0,Single_0,Us,001-391-565-0382x530,Sales promotion account executive,1,0,2,1,3,Single,0,Visit,Alone,Sunny,15:00,1,0,0,0,1,7,4,3,2.0,2,"SOCIALMEDIA, SOCIALMEDIAGOLD"
19527,Pedro Green,Male,24,Associate,Student,485000000.0,Single_0,England,649.644.7132x187,Dancer,1,0,3,1,3,Single,0,Work,Alone,Sunny,06:00,0,0,1,0,1,0,2,2,1.0,1,SOCIALMEDIA
8033,村上 康弘,Male,21,Associate,Student,410400000.0,Single_0,Japan,71-7643-6020,composer,3,1,2,0,3,Single,0,Work,Alone,Sunny,06:00,0,1,0,0,1,0,3,3,0.0,0,Unknown
7320,Thomas Foster,Male,21,Associate,Student,458400000.0,Single_0,Australia,4994-1168,Theme park manager,1,1,1,1,3,Single,0,Work,Alone,Sunny,06:00,1,0,0,1,0,0,4,4,1.0,1,SOCIALMEDIAGOLD
7527,David Clark,Male,21,Associate,Student,496800000.0,Single_0,Us,001-932-616-7158,English as a second language teacher,1,0,3,1,3,Single,0,Work,Alone,Sunny,07:00,1,0,0,0,1,8,4,4,0.0,0,Unknown
18413,Steven Davis,Male,25,Associate,Student,535200000.0,Single_0,Us,359.688.3834x11602,"Production designer, theatre/television/film",2,1,1,1,3,Single,0,Work,Alone,Sunny,06:00,0,1,0,0,1,0,5,5,1.0,1,SOCIALMEDIA
19892,山口 学,Male,28,Bachelor,Student,1527500000.0,Unmarried_0,Japan,090-8400-6742,Administrative scrivener,2,16,6,3,0,Unmarried,0,Travel,Alone,Sunny,11:00,1,0,0,0,1,0,5,4,1.0,1,DATASILVER
17634,Darrell Ortiz,Male,26,Bachelor,Student,1233600000.0,Unmarried_0,England,(634)861-0374x414,"Engineer, automotive",2,12,6,2,1,Unmarried,0,Travel,Friends,Sunny,08:00,1,0,0,0,1,0,5,4,1.0,1,SOCIALMEDIA
13819,Gabriel Farias,Male,26,Bachelor,Student,1300800000.0,Unmarried_0,Brazil,+55 11 3634-2390,Governor,1,18,5,3,1,Unmarried,0,Travel,Friends,Sunny,08:00,1,0,0,0,1,28,2,2,0.0,0,Unknown
3463,오영길,Male,27,Bachelor,Student,1452000000.0,Unmarried_0,Korea,010-2707-3861,computer security expert,3,21,8,1,1,Unmarried,0,Travel,Friends,Sunny,00:00,1,0,0,0,1,0,2,2,1.0,1,SOCIALMEDIA
5226,Michael Smith,Male,29,Bachelor,Student,1532500000.0,Unmarried_0,Us,(757)822-5654x402,Charity officer,2,20,7,3,0,Unmarried,0,Travel,Friends,Sunny,12:00,0,1,0,0,1,0,2,2,0.0,0,Unknown
15209,Billy Ellis,Male,27,Bachelor,Student,1466400000.0,Unmarried_0,Us,890.833.5642,Building surveyor,3,18,5,1,0,Unmarried,0,Travel,Friends,Sunny,00:00,0,1,0,0,1,27,2,2,1.0,1,DATASILVER
19885,Allen Lester,Male,27,Bachelor,Student,1505000000.0,Unmarried_0,England,-9260,Land,3,21,7,3,0,Unmarried,0,Travel,Friends,Sunny,14:00,0,1,0,0,1,34,5,5,0.0,0,Unknown
6297,Edward Pearson,Male,30,Bachelor,Student,1380000000.0,Unmarried_0,Us,450.406.7536x59098,Armed forces training and education officer,3,13,6,3,0,Unmarried,0,Visit,Alone,Sunny,15:00,1,0,0,1,0,0,5,4,1.0,1,DATACALL
10278,Kevin Rivera,Male,26,Bachelor,Student,1216800000.0,Unmarried_0,England,(700)473-0311,Building services engineer,1,15,8,2,1,Unmarried,0,Work,Alone,Sunny,07:00,0,0,1,0,1,0,3,3,1.0,1,SOCIALMEDIA
15570,윤준혁,Other,28,Bachelor,Student,1312500000.0,Unmarried_0,Korea,070-7890-5821,system software developer,2,12,7,3,1,Unmarried,0,Work,Alone,Sunny,07:00,0,0,1,0,1,25,3,3,0.0,0,Unknown
13571,周旭,Male,28,Bachelor,Student,1212000000.0,Unmarried_0,China,15127527364,General Clinic/General Practitioner,2,10,7,2,0,Unmarried,0,Work,Alone,Sunny,07:00,1,0,0,1,0,0,4,3,1.0,1,SOCIALMEDIAGOLD
1260,박상현,Male,27,Bachelor,Student,1512500000.0,Unmarried_0,Korea,031-548-0685,Gyeongwon Garden,3,19,4,1,0,Unmarried,0,Work,Alone,Sunny,06:00,1,0,0,0,1,0,3,3,1.0,1,DATASILVER
16512,Christopher Smith,Male,28,Bachelor,Student,1295000000.0,Unmarried_0,England,001-574-252-5933,Claims inspector/assessor,1,13,5,1,1,Unmarried,0,Work,Alone,Sunny,07:00,0,1,0,0,1,0,2,2,1.0,1,SOCIALMEDIA
5916,Samantha Wong,Female,27,Unknown,Unemployed,1579200000.0,Married_1,Australia,0489.611.055,"Producer, radio",0,0,22,6,0,Married,1,Travel,Alone,Sunny,11:00,1,0,0,0,1,0,4,4,1.0,1,DATASILVER
17871,Jessica Morgan,Female,27,Unknown,Unemployed,1682400000.0,Married_3,England,434.328.8154x0835,"Engineer, technical sales",0,0,19,6,0,Married,3,Travel,Friends,Sunny,08:00,1,0,0,0,1,0,1,1,1.0,1,SOCIALMEDIA
8028,青木 七夏,Female,28,Unknown,Unemployed,1696800000.0,Married_1,Japan,090-0291-1722,cartoonist,0,0,17,4,0,Married,1,Travel,Friends,Sunny,10:00,0,1,0,0,1,0,4,4,0.0,0,Unknown
7632,李华,Female,28,Unknown,Unemployed,1620000000.0,Married_1,China,13473979836,Quality Management/Testing Supervisor (QA/QC Supervisor),0,0,19,4,0,Married,1,Travel,Friends,Sunny,14:00,0,1,0,0,1,0,1,1,1.0,1,SOCIALMEDIA
6197,최명자,Female,28,Unknown,Unemployed,1653600000.0,Married_1,Korea,070-7297-5428,police officer,0,1,21,7,0,Married,1,Travel,Friends,Sunny,14:00,0,1,0,0,1,29,4,3,1.0,1,SOCIALMEDIA
19048,高橋 直子,Female,27,Unknown,Unemployed,1812500000.0,Married_3,Japan,070-8518-5001,artist,0,1,19,8,0,Married,3,Travel,Friends,Sunny,15:00,0,1,0,0,1,0,5,4,1.0,1,DATASILVER
10226,Valerie George,Other,28,Unknown,Unemployed,1778400000.0,Married_2,England,(807)816-4778x13097,"Biochemist, clinical",0,1,15,8,0,Married,2,Travel,Friends,Sunny,12:00,0,1,0,0,1,24,1,1,1.0,1,SOCIALMEDIAGOLD
16198,우영호,Other,28,Unknown,Unemployed,1584000000.0,Married_2,Korea,019-454-4758,Vegetable and special crop farm,0,1,11,4,0,Married,2,Travel,Family,Sunny,09:00,0,1,0,0,1,0,3,3,1.0,1,DATASILVER
18775,Natália Cardoso,Female,29,Unknown,Unemployed,1607500000.0,Married_1,Brazil,(051) 3837 1923,car electrician,0,0,22,8,0,Married,1,Travel,Family,Sunny,09:00,0,1,0,0,1,30,2,2,1.0,1,SOCIALMEDIAGOLD
11361,Ольга Руслановна Орлова,Female,30,Unknown,Unemployed,1837500000.0,Married_1,Russia,+7 254 033 37 74,Nurse,0,0,10,5,0,Married,1,Travel,Family,Sunny,13:00,1,0,0,0,1,0,5,4,1.0,1,DATASILVER
2293,程淑华,Female,30,Unknown,Unemployed,1735000000.0,Married_1,China,15541678884,porter,0,0,23,4,0,Married,1,Travel,Family,Sunny,13:00,0,1,0,0,1,0,1,1,1.0,1,DATASILVER
8242,최순자,Female,29,Unknown,Unemployed,1720800000.0,Married_2,Korea,064-711-7961,Sign production and installation workers,0,1,15,4,0,Married,2,Work,Alone,Sunny,06:00,1,0,0,0,1,20,2,2,1.0,1,DATASILVER
14796,Matthew Barber,Male,27,Unknown,Healthcare Support,1120000000.0,Single_0,England,001-291-480-1985x823,Television camera operator,19,11,11,10,23,Single,0,Travel,Alone,Sunny,11:00,1,0,0,0,1,0,3,3,1.0,1,DATASILVER
9034,Randall Oconnor,Male,29,Unknown,Healthcare Support,1182500000.0,Single_0,Australia,08 8395 0897,Network engineer,9,19,16,17,15,Single,0,Travel,Friends,Sunny,08:00,1,0,0,0,1,76,3,3,0.0,0,Unknown
1287,Cory Yates,Male,26,Unknown,Healthcare Support,926400000.0,Single_0,England,(623)571-9362,"Civil engineer, consulting",14,9,17,13,20,Single,0,Travel,Friends,Sunny,14:00,1,0,0,0,1,0,1,1,0.0,0,Unknown
7579,Ravi Lucca Barbosa,Male,26,Unknown,Healthcare Support,1113600000.0,Single_0,Brazil,+55 71 0610 6325,Agroindustrial production engineer,23,9,20,14,9,Single,0,Travel,Friends,Sunny,12:00,0,1,0,0,1,0,1,1,1.0,1,SOCIALMEDIA
4102,Raymond Farmer,Male,28,Unknown,Healthcare Support,1104000000.0,Single_0,England,3607074362,"Designer, blown glass/stained glass",22,11,22,12,20,Single,0,Travel,Friends,Sunny,00:00,0,1,0,0,1,0,3,2,1.0,1,DATASILVER
9342,Потапов Лазарь Фёдорович,Male,27,Unknown,Healthcare Support,1137600000.0,Single_0,Russia,+7 (207) 612-86-49,Serviceman,21,15,18,9,11,Single,0,Travel,Friends,Sunny,11:00,0,1,0,0,1,74,4,3,1.0,1,SOCIALMEDIAGOLD
11504,中島 康弘,Male,29,Unknown,Healthcare Support,948000000.0,Single_0,Japan,070-1438-2792,movie director,16,10,18,17,9,Single,0,Visit,Alone,Sunny,15:00,1,0,0,1,0,0,3,3,1.0,1,DATACALL
9807,Jennifer Watson,Other,28,Unknown,Healthcare Support,1222500000.0,Single_0,England,001-887-552-0436,Special effects artist,23,21,17,18,22,Single,0,Visit,Alone,Sunny,17:00,0,1,0,0,1,0,2,2,0.0,0,Unknown
9126,Mark Sparks,Male,28,Unknown,Healthcare Support,1180000000.0,Single_0,Us,722.259.9853,"Civil engineer, contracting",13,11,22,16,17,Single,0,Work,Alone,Sunny,06:00,0,0,1,0,1,0,4,4,1.0,1,DATACALL
15735,Jeremy Davenport,Male,30,Unknown,Healthcare Support,1010000000.0,Single_0,England,(274)379-1264,Ship broker,16,14,19,18,12,Single,0,Work,Alone,Sunny,06:00,0,1,0,0,1,79,5,4,1.0,1,DATAGOLD
16335,李秀兰,Male,28,Unknown,Healthcare Support,926400000.0,Single_0,China,13026152537,Big data development/analysis,23,17,14,11,10,Single,0,Work,Alone,Sunny,07:00,1,0,0,0,1,0,2,2,0.0,0,Unknown
11037,Pauline Schmidtke,Other,28,Associate,Healthcare Practitioners & Technical,757500000.0,Single_2,Denmark,+49 (0) 5151 040716,technician,0,3,8,1,0,Single,2,Travel,Alone,Sunny,13:00,1,0,0,0,1,0,2,1,1.0,1,DATASILVER
4230,Sabrina Dennis,Female,26,Associate,Healthcare Practitioners & Technical,707500000.0,Single_2,England,4137997155,Chartered accountant,0,2,4,3,1,Single,2,Travel,Friends,Sunny,08:00,1,0,0,0,1,0,4,3,1.0,1,SOCIALMEDIA
